source_index,cycle_id,building_id,cycle_day,feature,feature_value,shap_recovery_effect
16,2025-3,Lags 1,48,weight_gap_pct,17.777777777777793,0.0017463263922747765
16,2025-3,Lags 1,48,weight_staleness_days,13.0,0.021377678798697015
16,2025-3,Lags 1,48,temperature_deviation_from_band_c,1.7694444444444637,0.0003498885552983685
16,2025-3,Lags 1,48,humidity_deviation_from_band_pp,22.740509259259284,0.001127863561096256
16,2025-3,Lags 1,48,environment_out_of_band_days_7d,7.0,0.0001731735501161
16,2025-3,Lags 1,48,environment_staleness_days,17.0,5.2079384757004374e-05
16,2025-3,Lags 1,48,is_lags_building,1.0,-0.0018029226729411759
16,2025-3,Lags 1,48,historical_building_recovery,0.9183681957667624,0.0009779662520615106
16,2025-3,Lags 1,48,peer_delta_percentage_alive,-0.034563892237577276,-0.00041874516314183814
16,2025-3,Lags 1,48,peer_delta_weight_gap_pct,0.2844444444444534,6.055900136878934e-05
16,2025-3,Lags 1,48,missingindicator_temperature_deviation_from_band_c,0.0,-0.0001618532457612935
16,2025-3,Lags 1,48,missingindicator_humidity_deviation_from_band_pp,0.0,-8.676842956338295e-05
16,2025-3,Lags 1,48,missingindicator_environment_out_of_band_days_7d,0.0,-0.00014093409135189252
16,2025-3,Lags 1,48,missingindicator_environment_staleness_days,0.0,-0.00022776303728345345
17,2025-3,Lags 2,7,cycle_day,7.0,-0.009516088488837122
17,2025-3,Lags 2,7,percentage_alive,0.9796363636363636,-0.0010233381357109717
17,2025-3,Lags 2,7,mortality_recent_3d_per_1000,2.484848484848485,-0.0007963268416967298
17,2025-3,Lags 2,7,mortality_trend_delta_per_1000,0.0,9.850299994794098e-05
